season,match_no,date,team_1,team_1_score,team_1_wicket,team_2,team_2_score,team_2_wicket,player_of_match,toss_winner,toss_decision,winner,venue,city,win_by_wickets,win_by_runs,result,umpire_1,umpire_2,Point status,Team condition,Previous Winning rate
2021/22,1st,Jan 21 2022,Chattogram Challengers,125,8,Fortune Barishal,126,6,Mehidy Hasan Miraz,Fortune Barishal,bat first,Fortune Barishal,SBNCS,Mirpur,4,0,4 wickets,Sharfuddoula,Tanvir Ahmed,,,
2021/22,2nd ,Jan 21 2022,Minister Group Dhaka,183,6,Khulna Tigers,186,5,Rony Talukdar,Khulna Tigers, field first,Khulna Tigers,SBNCS,Mirpur,5,0,5 wickets,Morshed Ali Khan,Masudur Rahman,,,
2021/22,3rd,Jan 22 2022,Sylhet Sunrisers,96,10,Comilla Victorians,97,8,Nahidul Islam,Comilla Victorians,field first,Comilla Victorians,SBNCS,Mirpur,2,0,2 wickets,Masudur Rahman,Morshed Ali Khan,,,
2021/22,4th,Jan 22 2022,Chattogram Challengers,161,8,Minister Group Dhaka,131,10,Nasum Ahmed,Minister Group Dhaka,field first,Chattogram Challengers,SBNCS,Mirpur,0,30,30 runs,Sharfuddoula,Tanvir Ahmed,,,
2021/22,5th,Jan 24 2022,Fortune Barishal,129,8,Minister Group Dhaka,130,6,Mahmudullah,Minister Group Dhaka,field first,Minister Group Dhaka,SBNCS,Mirpur,4,0,4 wickets,Masudur Rahman,Tanvir Ahmed,,,
2021/22,6th,Jan 24 2022,Chattogram Challengers,190,7,Khulna Tigers,165,9,Benny Howell,Khulna Tigers,field first,Chattogram Challengers,SBNCS,Mirpur,0,25,25 runs,Morshed Ali Khan,Sharfuddoula,,,
2021/22,7th,Jan 25 2022,Minister Group Dhaka,100,10,Sylhet Sunrisers,101,3,Nazmul Islam,Sylhet Sunrisers,field first,Sylhet Sunrisers,SBNCS,Mirpur,7,0,7 wickets,Masudur Rahman,Sharfuddoula,,,
2021/22,8th,Jan 25 2022,Comilla Victorians,158,7,Fortune Barishal,95,10,Nahidul Islam,Fortune Barishal,field first,Comilla Victorians,SBNCS,Mirpur,0,63,63 runs,Morshed Ali Khan,Tanvir Ahmed,,,
2021/22,9th,Jan 28 2022,Chattogram Challengers,143,8,Khulna Tigers,144,4,Andre Fletcher,Khulna Tigers,field first,Khulna Tigers,SBNCS,Mirpur,6,0,6 wickets,Masudur Rahman,Tanvir Ahmed,,,
2021/22,10th,Jan 28 2022,Sylhet Sunrisers,175,5,Minister Group Dhaka,177,1,Tamim Iqbal,Minister Group Dhaka,field first,Minister Group Dhaka,ZACS,Chattogram,9,0,9 wickets,Mahfuzur Rahman,Prageeth Rambukwella,,,
2021/22,11th,Jan 29 2022,Fortune Barishal,141,9,Khulna Tigers,124,10,Mehedi Hasan Rana,Khulna Tigers,field first,Fortune Barishal,ZACS,Chattogram,0,17,17 runs,Morshed Ali Khan,Prageeth Rambukwella,,,
2021/22,12th,Jan 29 2022,Chattogram Challengers,202,5,Sylhet Sunrisers,186,6,Mrittunjoy Chowdhury,Sylhet Sunrisers,field first,Chattogram Challengers,ZACS,Chattogram,0,16,16 runs,Mahfuzur Rahman,Sharfuddoula,,,
2021/22,13th,Jan 31 2022,Comilla Victorians,183,3,Chattogram Challengers,131,10,Faf du Plessis,Chattogram Challengers,field first,Comilla Victorians,ZACS,Chattogram,0,52,52 runs,Morshed Ali Khan,Sharfuddoula,,,
2021/22,14th,Jan 31 2022,Fortune Barishal,145,10,Khulna Tigers,139,6,Shakib Al Hasan,Fortune Barishal,bat first,Fortune Barishal,ZACS,Chattogram,0,6,6 runs,Mahfuzur Rahman,Prageeth Rambukwella,,,
2021/22,15th,Feb 01 2022,Minister Group Dhaka,181,6,Comilla Victorians,131,10,Mahmudullah,Comilla Victorians,field first,Minister Group Dhaka,ZACS,Chattogram,0,50,50 runs,Prageeth Rambukwella,Tanvir Ahmed,,,
2021/22,16th,Feb 01 2022,Fortune Barishal,149,10,Chattogram Challengers,135,10,Shakib Al Hasan,Fortune Barishal,bat first,Fortune Barishal,ZACS,Chattogram,0,14,14 runs,Mahfuzur Rahman,Masudur Rahman,,,
2021/22,17th,Feb 03 2022,Sylhet Sunrisers,142,5,Khulna Tigers,144,1,Andre Fletcher,Khulna Tigers,field first,Khulna Tigers,SBNCS,Mirpur,9,0,9 wickets,Masudur Rahman,Morshed Ali Khan,,,
2021/22,18th,Feb 03 2022,Chattogram Challengers,138,8,Comilla Victorians,148,1,Mustafizur Rahman,Comilla Victorians,field first,Comilla Victorians,SBNCS,Mirpur,9,0,9 wickets,Mahfuzur Rahman,Prageeth Rambukwella,,,
2021/22,19th,Feb 04 2022,Sylhet Sunrisers,,,Fortune Barishal,,,,,,,SBNCS,Mirpur,,,,,,,,
2021/22,20th,Feb 04 2022,Comilla Victorians,,,Minister Group Dhaka,,,,,,,SBNCS,Mirpur,,,,,,,,
