season,match_no,date,team_1,team_1_score,team_1_wicket,team_2,team_2_score,team_2_wicket,player_of_match,toss_winner,toss_decision,winner,venue,city,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2023/24,1st,Jan 19 2024,Comilla Victorians ,143,6,Durdanto Dhaka,147,5,Shoriful Islam,Durdanto Dhaka,field first,Durdanto Dhaka,SBNCS,Mirpur,5,0,5 wickets,David Millns,Mahfuzur Rahman
2023/24,2nd,Jan 19 2024,Sylhet Strikers,177,2,Chattogram Challengers,180,3,Najibullah Zadran,Chattogram Challengers,field first,Chattogram Challengers,SBNCS,Mirpur,7,0,7 wickets,Asif Yaqoob,Morshed Ali Khan
2023/24,3rd,Jan 20 2024,Rangpur Riders,134,9,Fortune Barishal ,138,5,Khaled Ahmed,Fortune Barishal,field first,Fortune Barishal ,SBNCS,Mirpur,5,0,5 wickets,Ali Arman,Asif Yaqoob
2023/24,4th,Jan 20 2024,Chattogram Challengers,121,10,Khulna Tigers,122,6,Nahidul Islam,Khulna Tigers,field first,Khulna Tigers,SBNCS,Mirpur,4,0,4 wickets,David Millns,Morshed Ali Khan
2023/24,5th,Jan 22 2024,Durdanto Dhaka,136,8,Chattogram Challengers,137,4,tanzid-hasan,Chattogram Challengers,field first,Chattogram Challengers,SBNCS,Mirpur,6,0,6 wickets,Asif Yaqoob,Muhammad Kamruzzaman
2023/24,6th,Jan 22 2024,Fortune Barishal ,187,4,Khulna Tigers,188,2,Anamul Haque,Khulna Tigers,field first,Khulna Tigers,SBNCS,Mirpur,8,0,8 wickets,David Millns,Tanvir Ahmed
2023/24,7th,Jan 23 2024,Sylhet Strikers,120,8,Rangpur Riders,125,6,Azmatullah Omarzai,Rangpur Riders,field first,Rangpur Riders,SBNCS,Mirpur,4,0,4 wickets,David Millns,Mahfuzur Rahman
2023/24,8th,Jan 23 2024,Fortune Barishal ,161,9,Comilla Victorians,162,6,Matthew Forde,Comilla Victorians,field first,Comilla Victorians,SBNCS,Mirpur,4,0,4 wickets,Asif Yaqoob,Moniruzzaman
2023/24,9th,Jan 26 2024,Khulna Tigers,160,6,Rangpur Riders,132,10,Dasun Shanaka,Rangpur Riders,field first,Khulna Tigers,SylhetICS,Sylhet,0,28,28 runs,Asif Yaqoob,Muhammad Kamruzzaman
2023/24,10th,Jan 26 2024,Comilla Victorians ,130,8,Sylhet Strikers,78,10,Al Islam,Sylhet Strikers,field first,Comilla Victorians,SylhetICS,Sylhet,0,52,52 runs,David Millns,Mahfuzur Rahman
