season,match_no,date,team_1,team_1_score,team_1_wicket,team_2,team_2_score,team_2_wicket,player_of_match,toss_winner,toss_decision,winner,venue,city,win_by_wickets,win_by_runs,result,umpire_1,umpire_2,,,,,,,,
2024/25,1st,Dec 30 2024,Durbar Rajshahi,197,3,Fortune Barishal,200,6,Mahmudullah,Fortune Barishal,field first,Fortune Barishal,SBNCS,Mirpur,4,0,4 wickets,Asif Yaqoob,Masudur Rahman,,,,,,,,
2024/25,2nd,Dec 30 2024,Rangpur Riders,196,6,Dhaka Capital,151,9,Khushdil Shah,Dhaka Capital,field first,Rangpur Riders,SBNCS,Mirpur,0,40,40 runs,Mahfuzur Rahman,RR Wimalasiri,,,,,,,,
2024/25,3rd,Dec 31 2024,Khulna Tigers,203,4,Chittagong Kings,166,10,Mahidul Islam Ankon,Chittagong Kings,field first,Khulna Tigers,SBNCS,Mirpur,0,37,37 runs,Tanvir Ahmed,RR Wimalasiri,,,,,,,,
2024/25,4th,Dec 31 2024,Rangpur Riders,155,6,Sylhet Strikers,121,9,Nahid Rana,Rangpur Riders,bat first,Rangpur Riders,SBNCS,Mirpur,0,34,34 runs,Asif Yaqoob,Gazi Sohel,,,,,,,,
2024/25,5th,Jan 2 2025,Dhaka Capital,174,9,Durbar Rajshahi,179,3,Taskin Ahmed,Dhaka Capital,bat first,Durbar Rajshahi,SBNCS,Mirpur,7,0,7 wickets,Mahfuzur Rahman,RR Wimalasiri,,,,,,,,
2024/25,6th,Jan 2 2025,Fortune Barishal,124,10,Rangpur Riders,128,2,Saif Hassan,Rangpur Riders,field first,Rangpur Riders,SBNCS,Mirpur,8,0,8 wickets,Mahfuzur Rahman,Morshed Ali Khan,,,,,,,,
2024/25,7th,Jan 3 2025,Chittagong Kings,219,5,Durbar Rajshahi,114,10,Usman Khan,Durbar Rajshahi,field first,Chittagong Kings,SBNCS,Mirpur,0,105,105 runs,Muhammad Kamruzzaman,Asif Yaqoob,,,,,,,,
2024/25,8th,Jan 3 2025,Khulna Tigers,173,8,Dhaka Capital,153,6,Mehidy Hasan Miraz,Dhaka Capital,field first,Khulna Tigers,SBNCS,Mirpur,0,20,20 runs,RR Wimalasiri,Gazi Sohel,,,,,,,,
2024/25,9th,Jan 6 2025,Sylhet Strikers,205,4,Rangpur Riders,210,2,Alex Hales,Rangpur Riders,field first,Rangpur Riders,SylhetICS,SylhetI,8,0,8 wickets,Asif Yaqoob,Moniruzzaman,,,,,,,,
2024/25,10th,Jan 6 2025,Durbar Rajshahi,168,4,Fortune Barishal,169,3,Tamim Iqbal,Fortune Barishal,field first,Fortune Barishal,SylhetICS,SylhetI,7,0,7 wickets,RR Wimalasiri,Mahfuzur Rahman,,,,,,,,
2024/25,11th,Jan 7 2025,Dhaka Capital,111,10,Rangpur Riders,113,3,Nahid Rana,Rangpur Riders,field first,Rangpur Riders,SylhetICS,SylhetI,7,0,7 wickets,RR Wimalasiri,Tanvir Ahmed,,,,,,,,
2024/25,12th,Jan 7 2025,Sylhet Strikers,125,10,Fortune Barishal,126,3,Jahandad Khan,Fortune Barishal,field first,Fortune Barishal,SylhetICS,SylhetI,7,0,7 wickets,Asif Yaqoob,Morshed Ali Khan,,,,,,,,
